"id","name","address","city","state","zip_code","phone_number","website","rating","hourly_rate","image","lat","lng","map"
14,"Dance & Art Showcase","2861 Henderson Mill Rd","Chamblee","GA","30341","(770) 934-5010","https://www.danceandarts.com","4.6","$68-$128/month","https://www.danceandarts.com/wp-content/uploads/2020/09/dancer_home.jpg",,,"https://batchgeo.com/map/2f49a9ffd8743570bf1d92476275455f"
13,"MOVE Dance Studio","3855 Presidential Pkwy ","Atlanta","GA","30338","(678) 827-1752","https://www.movedanceatl.com","5.0","Contact for more info","https://static1.squarespace.com/static/5c85ca81d86cc97754384e3a/t/5cc8b4915e290500019ecff7/1600836099334/?format=1500w",,,"https://batchgeo.com/map/72419cf8b9357658a6bfe91a51a30c3b"
3,"Dance Studio 33, School of Arts","186 Rio Cir Ste. B","Decatur","GA","30030","(678) 830-6511","https://ww.dancestudio33.com","4.2","$50-$210/month","https://static.wixstatic.com/media/4db132_2b6b690c8c994d52bb5d7254a7230c1c~mv2_d_5000_3855_s_4_2.jpg/v1/fill/w_654,h_494,al_c,q_80,usm_0.66_1.00_0.01/logo.webp",,,"https://batchgeo.com/map/69c81b2aebb4b41879236828f0365e2b"
1,"Forte Twirl and Dance","644 Antone St NW Ste. 2","Atlanta","GA","30318","(404) 913-4840","https://www.fortedancetwirl.com","5.0","$70-$180/month","https://www.fortedancetwirl.com/uploads/6/2/7/7/62779007/forte-atlanta-white-6.png",,,"https://batchgeo.com/map/74f933ff0384f7176bc808ff018ec4b0"
2,"Tumble 'N Dance","4518 N Henry Blvd #111","Stockbridge","GA","30281","(770) 507-5120","http://tumbledance.net","4.4","Contact for more info","http://www.tumblendance.net/images/59828cf195daf.jpg",,," https://batchgeo.com/map/1428b5a6273aa06a3a05c8255db13095"
12,"Stage Door Studios","1082 Oak Tree Rd","Decatur","GA","30033","(404) 429-7764","www.stagedoorstudios.net",,"$68-$325/month","http://stagedoorstudios.net/images/index2.jpg",,,"https://batchgeo.com/map/4e4212e56b19c6333a6b7dd40d1b9ea9"
4,"Decatur School of Dance","102 Church St","Decatur","GA","30030","(404) 378-3388","https://www.decaturballet.com","5.0","$70-$250/month","https://static.wixstatic.com/media/c3f40c_81ebba7b1de440ea8286b2de70f0fece~mv2.png/v1/fill/w_394,h_156,al_c,q_85,usm_0.66_1.00_0.01/DSOB_Site_Header-Logo.webp",,,"https://batchgeo.com/map/b403a65f4ba7d5c41ff375802777f948"
6,"Dance 411 Studios","475 Moreland Ave SE","Atlanta","GA","30316","(404) 622-4110","https://dance411.com","4.7","$90-$135/month","https://www.dance411.com/wp-content/uploads/2020/02/dance411_gradient.png",,," https://batchgeo.com/map/83fb4fb254a5343d03f43f1bf0de6cf6"
10,"Druid Hills Dance Center","3334 N Druid Hills Rd NE","Decatur","GA ","30030","(678) 6727895","www.druidhillsdance.com","4.9","$50-$250/month","http://static1.squarespace.com/static/50bfbe64e4b07c2d6da6b68e/t/5c38c0c94ae2378674f4eb5f/1599611698686/?format=1500w",,,"https://batchgeo.com/map/939ccdf1983ff8b8d6b42a5c045e3b2a"
7,"TADA - The Atlanta Dance Academy","2335 Cheshire Bridge Rd NE","Atlanta","GA","30324","(678) 827-3737","https://www.tadaatlanta.com","4.9","Contact for more info","https://www.tadaatlanta.com/img/branding/logo.png",,,"https://batchgeo.com/map/bf76fac00d36cd8d08bd71cb033008cc"
8,"Atlanta Dance & Music Academy","524 Plasters Ave NE ","Atlanta","GA ","30324","(404) 877-0005","https://atlantadanceandmusic.com","4.7","$65-$350/month","https://atlantadanceandmusic.com/wp-content/uploads/2019/05/ADMA-Logo-Banner-5421.png",,,"https://batchgeo.com/map/2abce8f29d34c81e607f13b6a8731614  "
5,"Dance 101","2480 Briarcliff Rd NE","Atlanta","GA","30329","(404) 545-8048","https://www.dance101.org","4.7","$70-$120/month","https://www.dance101.org/images/dance101_New_logo_big_wh.png",,,"https://batchgeo.com/map/10446f58c978e47f3bd26b98cbd7168e  "
9,"PROJECT S.L.I.D.E.","122 New St","Decatur","GA","30030","(404) 228-2975","https://projectslide.com","4.8","$75-$80/month","https://static.wixstatic.com/media/7a3c21_1ce5d098b4bf4686a863440d03eed9d4~mv2.jpg/v1/fill/w_332,h_254,al_c,q_80,usm_0.66_1.00_0.01/7a3c21_1ce5d098b4bf4686a863440d03eed9d4~mv2.webp",,,"https://batchgeo.com/map/6ee1ab9ee24a498dbb2796234b2224b1"
11,"Uhuru Dancers","404 W Trinity Pl","Decatur","GA","30030","(404) 797-9458","www.uhurudancers.com","5.0","$5-$12/class","http://nebula.wsimg.com/036527243f7466f388e43de301d50a76?AccessKeyId=88507A2F19ED52F3C364&disposition=0&alloworigin=1",,,"https://batchgeo.com/map/484de612ac52e961bda85a7a48b1fd4b"
