"id","name","address","city","state","zip_code","phone_number","website","rating","hourly_rate","image","lat","lng","map"
10,"Icon Studios LLC","710 Berkeley Ave NW #3","Atlanta","GA","30318","(404) 609-7064","https://www.iconstudiosatl.com","4.8","$25/hr","https://static.wixstatic.com/media/ee177a_56de531a391b3a8636da9a657becd056.png/v1/fill/w_598,h_140,al_c,lg_1,q_85/ee177a_56de531a391b3a8636da9a657becd056.webp",33.797324,84.411347,"https://batchgeo.com/map/3d2c231db1c483adce9416cceeff556f"
14,"The Cook Up Studio","2179 Verbena St NW ","Atlanta","GA","30314","(404) 395-7324","https://thecookupatl.com",,"$40-$100/hr","https://img1.wsimg.com/isteam/stock/1049/:/rs=w:2600,h:1600",33.755444,84.459997,"https://batchgeo.com/map/bcd0dad5fd453772c8b3668dccb72a9f"
23,"AMS Studios Atlanta","211 Walker St SW","Atlanta","GA","30313","(470) 717-4134","http://www.amsstudiosatl.com","4.7","$75+/hr","https://lh5.googleusercontent.com/p/AF1QipN0MTjfpHnY2FyPWuX41_MU4nNT7h4OULiUioTp=w180-h180-n-k-no",33.749233,84.402165,"https://batchgeo.com/map/eaf2c0f01345ba85d5cf0478564c9c7d"
18,"800 East","800 E Ave NE","Atlanta","GA","30312","(404) 689-6196","http://www.800east.com","4.7",,"https://images.squarespace-cdn.com/content/v1/5d794dc9a0dad828be5c7ae3/1595266165151-0WV8NJJA97B3TX1UK9X2/ke17ZwdGBToddI8pDm48kFWxnDtCdRm2WA9rXcwtIYR7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UcTSrQkGwCGRqSxozz07hWZrYGYYH8sg4qn8Lpf9k1pYMHPsat2_S1jaQY3SwdyaXg/ta-01-web-2.jpg?format=1500w",33.763282,84.361293,"https://batchgeo.com/map/b5b768103311a73361af29be97479c2d"
9,"2 High Rehearsal Place","540 Chattahoochee Row NW","Atlanta","GA","30318","(678) 705-5684","Call for more info",,"Contact for more info",,33.804172,84.42822,"https://batchgeo.com/map/1ed2bbf74887ff77c60d4ebdbb264aa1"
2,"Arcade 160 Stuios","587 virginia Ave NE PH 1","Atlanta","GA","30306","(404) 474-4333","http://www.arcade160.com",,,"https://img1.wsimg.com/isteam/ip/14f95ffe-b85e-4e5e-9559-5b2ee4b0059d/logo/aeaeeb02-4cbc-4405-8b45-e087eecef225.png/:/rs=h:101/qt=q:95",33.780684,84.368281,"https://batchgeo.com/map/b1aaa3da81e7ed53247ecd2506d3bb09  "
16,"11th Street Studios","699 11th St NW ","Atlanta","GA","30318","(404) 249-8511","https://11thstreetstudios.com","4.3","$65-$200/hr","https://lh5.googleusercontent.com/p/AF1QipMuBI-A7HlcKwhhtzbTG916-Rtaf3cw9e9Rl8zj=w180-h180-n-k-no",33.783405,84.410112,"https://batchgeo.com/map/f222eececa1c817eee1eca12be65ac9f"
21,"Area 61 Studios","1816 Briarwood Industrial Ct NE Ste. E","Atlanta","GA","30329","(404) 941-0861","http://www.area61records.com","5.0","$40-$60/hr","https://cdn-s.acuityscheduling.com/logo19453609.png?1587318079",33.843006,84.320595,"https://batchgeo.com/map/17f174bd8b7ec5574ab472b71602680a"
7,"The Bassmint Studios","1376 Chattahoochee Ave NW","Atlanta","GA","30318","(404) 671-4253","Call for more info","4.6",,"https://scontent-atl3-2.xx.fbcdn.net/v/t1.0-9/14068133_1091412957614578_6165636496932661058_n.png?_nc_cat=101&ccb=2&_nc_sid=6e5ad9&_nc_ohc=v9XFzEvjL5kAX9LV8Ob&_nc_ht=scontent-atl3-2.xx&oh=01bf9da5f1b8737fe6402d4fef50ee6e&oe=5FD4BC53",33.803108,84.432511," https://batchgeo.com/map/d0380ea9305525306c59af8490e20825  "
20,"Riot Space Rehearsal Studios","733 Glendale Rd","Scottdale","GA","30079","(404) 405-6281","http://www.riotspaceatl.com",,,"https://lh5.googleusercontent.com/p/AF1QipNbIT0AOujgB2OtGv_oNqQZzFIJdtmshbiYvDHk=w180-h180-n-k-no",33.797855,84.254552,"https://batchgeo.com/map/1f7e17945107e9c1efd29448c057b411"
3,"Loud House Studios","2115 Liddell Dr NE","Atlanta","GA","30324","(404) 963-7374","https://loudhousestudios.com","4.4","$80-$140/hr","https://s3-media0.fl.yelpcdn.com/bphoto/VsQagcjTHV7WpcS5dJUsYQ/ls.jpg",33.81215,84.362422," https://batchgeo.com/map/263e02c6bf40294fb99ca5917ed91493"
